frame_index,timestamp_ms,detected,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z
48,2000.0,True,-0.029736,-0.587092,-0.290448,0.060046,-0.598489,-0.179434,-0.089892,-0.559319,-0.171445,0.159879,-0.43091,-0.050369,-0.137319,-0.492322,-0.004247,0.222519,-0.235046,-0.088491,-0.201567,-0.222989,-0.067855,0.122823,-0.137683,-0.120953,-0.1259,-0.14331,-0.210521,0.09896,0.003198,0.035621,-0.095623,-0.011172,-0.034974
49,2041.667,True,-0.032492,-0.586464,-0.290419,0.05787,-0.598562,-0.179292,-0.091174,-0.559203,-0.171181,0.158628,-0.431039,-0.049911,-0.139389,-0.492249,-0.004696,0.219898,-0.235041,-0.08875,-0.206444,-0.221933,-0.068249,0.122884,-0.123565,-0.118975,-0.125089,-0.130237,-0.201013,0.098155,0.003051,0.036253,-0.094696,-0.010953,-0.035783
50,2083.333,True,-0.035163,-0.585984,-0.29061,0.057046,-0.598359,-0.178572,-0.092599,-0.559074,-0.169908,0.157358,-0.43116,-0.04967,-0.141367,-0.491981,-0.001815,0.220569,-0.236342,-0.088756,-0.208905,-0.221573,-0.060938,0.129134,-0.124633,-0.118283,-0.12722,-0.127714,-0.192074,0.098121,0.002909,0.035913,-0.09462,-0.010748,-0.035439
51,2125.0,True,-0.035016,-0.585852,-0.290915,0.056198,-0.598564,-0.178405,-0.093099,-0.558497,-0.170845,0.156191,-0.431345,-0.048694,-0.142736,-0.491104,-0.005602,0.21892,-0.236425,-0.088448,-0.211975,-0.218108,-0.067506,0.130756,-0.117363,-0.116418,-0.126663,-0.12184,-0.193873,0.097719,0.002786,0.037326,-0.094158,-0.010587,-0.036997
52,2166.667,True,-0.033214,-0.585855,-0.292786,0.056849,-0.598562,-0.17915,-0.092535,-0.558473,-0.173066,0.156488,-0.431679,-0.0495,-0.1427,-0.490897,-0.007976,0.220007,-0.236907,-0.093184,-0.210068,-0.217006,-0.073892,0.130442,-0.122757,-0.126045,-0.120586,-0.12381,-0.20457,0.097713,0.0027,0.037314,-0.094152,-0.010512,-0.036981
53,2208.333,True,-0.03037,-0.585837,-0.297312,0.058059,-0.59833,-0.181377,-0.091809,-0.557709,-0.176858,0.156923,-0.431509,-0.052374,-0.142622,-0.490677,-0.011196,0.219349,-0.236387,-0.095684,-0.209998,-0.216983,-0.076351,0.124166,-0.121307,-0.125941,-0.120246,-0.125221,-0.205853,0.097713,0.002697,0.037258,-0.094164,-0.010501,-0.036932
54,2250.0,True,-0.030069,-0.585007,-0.297935,0.058086,-0.598249,-0.183227,-0.091686,-0.557605,-0.17935,0.157209,-0.431779,-0.053453,-0.142041,-0.490703,-0.012086,0.220956,-0.23629,-0.096803,-0.207844,-0.217685,-0.076817,0.12402,-0.121979,-0.130295,-0.120151,-0.126763,-0.208258,0.0978,0.002683,0.037217,-0.094239,-0.0105,-0.036869
55,2291.667,True,-0.032476,-0.584674,-0.29882,0.057365,-0.598177,-0.185422,-0.092543,-0.557581,-0.179548,0.157066,-0.431693,-0.055469,-0.142029,-0.490835,-0.011799,0.220414,-0.235125,-0.096419,-0.208659,-0.21857,-0.074209,0.123135,-0.118964,-0.123211,-0.124192,-0.127088,-0.20601,0.097803,0.0027,0.036556,-0.09424,-0.010535,-0.036159
56,2333.333,True,-0.036328,-0.580298,-0.304458,0.056575,-0.596204,-0.192037,-0.094,-0.554297,-0.181768,0.157237,-0.430998,-0.05896,-0.142043,-0.490047,-0.013735,0.220711,-0.23426,-0.09714,-0.209175,-0.218501,-0.074562,0.127301,-0.115996,-0.121211,-0.124075,-0.127737,-0.206148,0.09779,0.00272,0.036331,-0.094231,-0.010557,-0.035948
57,2375.0,True,-0.043083,-0.579701,-0.30544,0.055042,-0.595752,-0.194403,-0.096085,-0.554105,-0.181643,0.15724,-0.430845,-0.060083,-0.14205,-0.49014,-0.013221,0.220843,-0.234386,-0.095961,-0.210517,-0.219446,-0.069169,0.132096,-0.114183,-0.115661,-0.12838,-0.128126,-0.202549,0.097819,0.002888,0.035734,-0.09426,-0.010717,-0.035297
